"","LEP","UHY","site","year"
"400",0.479430585851,0.30389624049,"HU15",2005
"401",0.905429640923,0.148627529715,"HU15",2006
"402",0.00557044920835,0.225228447876,"HU15",2007
"403",0.0371504408824,0.20831658605,"HU15",2008
"404",0.616953025886,0.15945781665,"HU15",2009
"405",NA,0.580402225282,"HU15",2010
"406",0.0410141993607,0.14877776911,"HU15",2011
"407",NA,NA,"HU15",2012
"408",NA,NA,"HU15",2013
"409",0.0160839204589,0.219366116524,"HU27",1998
"410",NA,0.0216569282143,"HU27",2000
"411",NA,0.370184551788,"HU27",2001
"412",NA,0.1067,"HU27",2002
"413",0.310668673566,NA,"HU27",2003
"414",0.60654721055,NA,"HU27",2004
"415",1.09394289283,NA,"HU27",2005
"416",0.0672319694561,NA,"HU27",2006
"417",NA,NA,"HU27",2007
"418",NA,NA,"HU27",2008
"419",0.0182684610947,NA,"HU27",2009
"420",NA,NA,"HU27",2010
"421",NA,NA,"HU27",2011
"422",NA,NA,"HU27",2012
"423",NA,NA,"HU27",2013
"424",0.191537301628,0.101031980515,"HU32",1998
"425",0.00652343885399,NA,"HU32",1999
"426",0.276001471863,0.0688685921677,"HU32",2000
"427",NA,0.0317863961031,"HU32",2001
"428",NA,0.0159875,"HU32",2002
"429",0.861223733174,NA,"HU32",2004
"430",0.0774506750831,NA,"HU32",2005
"431",0.291836841661,NA,"HU32",2006
"432",NA,NA,"HU32",2007
"433",NA,NA,"HU32",2008
"434",NA,NA,"HU32",2009
"435",NA,NA,"HU32",2010
"436",NA,NA,"HU32",2011
"437",NA,NA,"HU32",2012
"438",NA,NA,"HU32",2013
"439",0.030761343802,0.0699779437252,"HU37",1998
"440",0.14064616344,0.0554762932957,"HU37",1999
"441",NA,NA,"HU37",2000
"442",NA,0.0236074485963,"HU37",2001
"443",NA,0.2504875,"HU37",2002
"444",1.22412163415,NA,"HU37",2003
"445",0.674128391231,NA,"HU37",2004
"446",0.0212151492376,NA,"HU37",2005
"447",0.134083559979,NA,"HU37",2006
"448",NA,NA,"HU37",2007
"449",NA,NA,"HU37",2008
"450",NA,NA,"HU37",2009
"451",NA,NA,"HU37",2010
"452",0.705226317436,NA,"HU37",2011
"453",NA,NA,"HU37",2012
"454",NA,NA,"HU37",2013
"455",0.0473895553775,0.0735694543648,"HU38",1998
"456",0.00274393398283,NA,"HU38",1999
"457",0.0668241594667,0.0606294678888,"HU38",2000
"458",NA,0.098902081528,"HU38",2001
"459",NA,0.047125,"HU38",2002
"460",0.263154807076,NA,"HU38",2003
"461",1.71306160794,NA,"HU38",2004
"462",0.351686806772,NA,"HU38",2005
"463",-0.0590904965205,NA,"HU38",2006
"464",NA,NA,"HU38",2007
"465",NA,NA,"HU38",2008
"466",NA,NA,"HU38",2009
"467",NA,NA,"HU38",2010
"468",NA,NA,"HU38",2011
"469",NA,NA,"HU38",2012
"470",NA,NA,"HU38",2013
"471",0.178204513845,0.11942850109,"HU45",1998
"472",0.0351138564286,NA,"HU45",1999
"473",0.879567456864,0.0355830952442,"HU45",2000
"474",0.0968070174977,0.230628978144,"HU45",2001
"475",0.146425,0.117825,"HU45",2002
"476",0.0138286337006,0.221807396295,"HU45",2003
"477",0.601519996411,0.452379276632,"HU45",2004
"478",0.071506855459,NA,"HU45",2005
"479",0.528122081952,0.0814966955893,"HU45",2006
"480",0.108607281356,0.14811880496,"HU45",2007
"481",0.280926497845,0.174896204496,"HU45",2008
"482",0.413950349584,NA,"HU45",2009
"483",NA,0.0897212903189,"HU45",2010
"484",0.559661360885,0.211737982685,"HU45",2011
"485",NA,NA,"HU45",2012
"486",NA,NA,"HU45",2013
"487",0.0957311769644,0.070945421164,"HU48",1998
"488",0.102890685425,0.0986641612613,"HU48",1999
"489",0.221793622805,0.109781817267,"HU48",2000
"490",NA,0.0668610542879,"HU48",2001
"491",NA,0.0200375,"HU48",2002
"492",0.690593807717,NA,"HU48",2003
"493",0.554423776952,NA,"HU48",2004
"494",1.45357368318,NA,"HU48",2005
"495",0.0224711598891,NA,"HU48",2006
"496",NA,NA,"HU48",2007
